SKU,Product_Family,n_months,pct_zero_months,mean_demand,ADI,CV2,Demand_Class
FOODS_1_124,FOODS_1,65,0.23076923076923078,27.953846153846154,1.3,0.23976843695158667,Smooth
FOODS_1_128,FOODS_1,65,0.046153846153846156,21.0,1.0483870967741935,0.359551993073881,Smooth
FOODS_1_135,FOODS_1,65,0.27692307692307694,12.615384615384615,1.3829787234042554,0.25336516824871325,Intermittent
FOODS_1_185,FOODS_1,65,0.015384615384615385,32.69230769230769,1.015625,0.2134408119953864,Smooth
FOODS_2_045,FOODS_2,65,0.47692307692307695,14.707692307692307,1.911764705882353,0.1813550501248546,Intermittent
FOODS_2_069,FOODS_2,65,0.23076923076923078,9.984615384615385,1.3,0.17551608619259726,Smooth
FOODS_2_111,FOODS_2,65,0.24615384615384617,7.6,1.3265306122448979,0.2618887855343747,Intermittent
FOODS_2_314,FOODS_2,65,0.15384615384615385,13.892307692307693,1.1818181818181819,0.47962024783472645,Smooth
FOODS_2_361,FOODS_2,65,0.13846153846153847,22.692307692307693,1.1607142857142858,0.3193294298921417,Smooth
FOODS_2_395,FOODS_2,65,0.5846153846153846,5.076923076923077,2.4074074074074074,0.3580546726001273,Intermittent
FOODS_3_004,FOODS_3,65,0.4307692307692308,15.507692307692308,1.7567567567567568,0.1901572582479494,Intermittent
FOODS_3_021,FOODS_3,65,0.24615384615384617,68.18461538461538,1.3265306122448979,0.45305110669871135,Intermittent
FOODS_3_027,FOODS_3,65,0.47692307692307695,22.076923076923077,1.911764705882353,0.3498149531836963,Intermittent
FOODS_3_032,FOODS_3,65,0.36923076923076925,34.30769230769231,1.5853658536585367,0.14780248949305239,Intermittent
FOODS_3_100,FOODS_3,65,0.3230769230769231,15.584615384615384,1.4772727272727273,0.1737882288621619,Intermittent
FOODS_3_116,FOODS_3,65,0.12307692307692308,93.50769230769231,1.1403508771929824,0.30734107532830496,Smooth
FOODS_3_131,FOODS_3,65,0.12307692307692308,73.06153846153846,1.1403508771929824,0.23561200664286638,Smooth
FOODS_3_168,FOODS_3,65,0.15384615384615385,18.076923076923077,1.1818181818181819,0.12418825344130914,Smooth
FOODS_3_184,FOODS_3,65,0.03076923076923077,81.24615384615385,1.0317460317460319,0.09622994768663187,Smooth
FOODS_3_307,FOODS_3,65,0.4,76.03076923076924,1.6666666666666667,0.13500858397203944,Intermittent
FOODS_3_371,FOODS_3,65,0.6923076923076923,4.107692307692307,3.25,0.34804217968225704,Intermittent
FOODS_3_404,FOODS_3,65,0.07692307692307693,224.24615384615385,1.0833333333333333,0.4644805226407193,Smooth
FOODS_3_429,FOODS_3,65,0.5384615384615384,20.861538461538462,2.1666666666666665,0.2081887437517047,Intermittent
FOODS_3_465,FOODS_3,65,0.35384615384615387,30.49230769230769,1.5476190476190477,0.5277771906996596,Lumpy
FOODS_3_474,FOODS_3,65,0.18461538461538463,157.1076923076923,1.2264150943396226,0.2446101209895723,Smooth
FOODS_3_502,FOODS_3,65,0.46153846153846156,51.46153846153846,1.8571428571428572,0.13280384914997456,Intermittent
FOODS_3_503,FOODS_3,65,0.07692307692307693,88.0923076923077,1.0833333333333333,0.5193411771170993,Erratic
FOODS_3_564,FOODS_3,65,0.4,14.246153846153845,1.6666666666666667,0.5487346461868136,Lumpy
FOODS_3_581,FOODS_3,65,0.0,31.369230769230768,1.0,0.2006601034005601,Smooth
FOODS_3_596,FOODS_3,65,0.0,59.753846153846155,1.0,0.058832701179202,Smooth
FOODS_3_663,FOODS_3,65,0.4307692307692308,24.907692307692308,1.7567567567567568,0.30363497956312746,Intermittent
FOODS_3_710,FOODS_3,65,0.46153846153846156,8.676923076923076,1.8571428571428572,0.1537632368474778,Intermittent
FOODS_3_770,FOODS_3,65,0.35384615384615387,25.476923076923075,1.5476190476190477,0.32511103939016706,Intermittent
FOODS_3_818,FOODS_3,65,0.24615384615384617,65.35384615384615,1.3265306122448979,0.09306028988347088,Intermittent
FOODS_3_825,FOODS_3,65,0.2,28.70769230769231,1.25,0.14147837887557405,Smooth
