SKU,Product_Family,Date,Actual,Forecast,Method
FOODS_1_124,FOODS_1,2015-05-01,59.0,5.062696464681293,SES
FOODS_1_124,FOODS_1,2015-06-01,37.0,49.360756260873195,SES
FOODS_1_124,FOODS_1,2015-07-01,42.0,39.223435125533065,SES
FOODS_1_124,FOODS_1,2015-08-01,29.0,41.387853916552416,SES
FOODS_1_124,FOODS_1,2015-09-01,22.0,31.76176687826606,SES
FOODS_1_124,FOODS_1,2015-10-01,13.0,24.08809530800423,SES
FOODS_1_124,FOODS_1,2015-11-01,0.0,15.278903942566167,SES
FOODS_1_124,FOODS_1,2015-12-01,0.0,2.9535925523981277,SES
FOODS_1_124,FOODS_1,2016-01-01,30.0,0.5582870383776485,SES
FOODS_1_124,FOODS_1,2016-02-01,49.0,24.017704889296652,SES
FOODS_1_124,FOODS_1,2016-03-01,33.0,45.11719346314633,SES
FOODS_1_124,FOODS_1,2016-04-01,41.0,35.10750357361401,SES
FOODS_1_124,FOODS_1,2016-05-01,24.0,39.91527112708308,SES
FOODS_1_128,FOODS_1,2015-05-01,11.0,19.703108626132806,Holt-Winters
FOODS_1_128,FOODS_1,2015-06-01,19.0,24.191390116737313,Holt-Winters
FOODS_1_128,FOODS_1,2015-07-01,10.0,20.652800898707614,Holt-Winters
FOODS_1_128,FOODS_1,2015-08-01,19.0,10.843345327581144,Holt-Winters
FOODS_1_128,FOODS_1,2015-09-01,12.0,17.00000591681769,Holt-Winters
FOODS_1_128,FOODS_1,2015-10-01,8.0,11.511432580605838,Holt-Winters
FOODS_1_128,FOODS_1,2015-11-01,14.0,12.601581032271945,Holt-Winters
FOODS_1_128,FOODS_1,2015-12-01,58.0,28.413036305783447,Holt-Winters
FOODS_1_128,FOODS_1,2016-01-01,13.0,13.175004272349481,Holt-Winters
FOODS_1_128,FOODS_1,2016-02-01,14.0,15.76468434738916,Holt-Winters
FOODS_1_128,FOODS_1,2016-03-01,21.0,14.266666844724654,Holt-Winters
FOODS_1_128,FOODS_1,2016-04-01,18.0,18.421010411756857,Holt-Winters
FOODS_1_128,FOODS_1,2016-05-01,17.0,16.600087441580374,Holt-Winters
FOODS_1_135,FOODS_1,2015-05-01,0.0,12.307691611219797,SES
FOODS_1_135,FOODS_1,2015-06-01,0.0,12.075471648734876,SES
FOODS_1_135,FOODS_1,2015-07-01,9.0,11.851851875589407,SES
FOODS_1_135,FOODS_1,2015-08-01,20.0,11.79999958813678,SES
FOODS_1_135,FOODS_1,2015-09-01,27.0,11.946428456254718,SES
FOODS_1_135,FOODS_1,2015-10-01,15.0,12.210526198704514,SES
FOODS_1_135,FOODS_1,2015-11-01,0.0,12.258620530800792,SES
FOODS_1_135,FOODS_1,2015-12-01,0.0,12.050847504033403,SES
FOODS_1_135,FOODS_1,2016-01-01,24.0,11.850000251154961,SES
FOODS_1_135,FOODS_1,2016-02-01,15.0,12.049180639762143,SES
FOODS_1_135,FOODS_1,2016-03-01,19.0,12.096772904767509,SES
FOODS_1_135,FOODS_1,2016-04-01,15.0,12.206349244394154,SES
FOODS_1_135,FOODS_1,2016-05-01,36.0,12.250000169218737,SES
FOODS_1_185,FOODS_1,2015-05-01,55.0,29.166666666666668,SMA
FOODS_1_185,FOODS_1,2015-06-01,68.0,30.416666666666668,SMA
FOODS_1_185,FOODS_1,2015-07-01,25.0,33.333333333333336,SMA
FOODS_1_185,FOODS_1,2015-08-01,29.0,33.416666666666664,SMA
FOODS_1_185,FOODS_1,2015-09-01,8.0,32.916666666666664,SMA
FOODS_1_185,FOODS_1,2015-10-01,40.0,32.166666666666664,SMA
FOODS_1_185,FOODS_1,2015-11-01,28.0,31.833333333333332,SMA
FOODS_1_185,FOODS_1,2015-12-01,39.0,32.416666666666664,SMA
FOODS_1_185,FOODS_1,2016-01-01,25.0,34.083333333333336,SMA
FOODS_1_185,FOODS_1,2016-02-01,43.0,34.083333333333336,SMA
FOODS_1_185,FOODS_1,2016-03-01,48.0,33.583333333333336,SMA
FOODS_1_185,FOODS_1,2016-04-01,60.0,36.583333333333336,SMA
FOODS_1_185,FOODS_1,2016-05-01,40.0,39.0,SMA
FOODS_2_045,FOODS_2,2015-05-01,6.0,0.0026717625754345948,SES
FOODS_2_045,FOODS_2,2015-06-01,0.0,5.2986290774776785,SES
FOODS_2_045,FOODS_2,2015-07-01,6.0,0.6657327638091834,SES
FOODS_2_045,FOODS_2,2015-08-01,28.0,5.286719406617925,SES
FOODS_2_045,FOODS_2,2015-09-01,36.0,25.754983841507627,SES
FOODS_2_045,FOODS_2,2015-10-01,45.0,35.68501420430831,SES
FOODS_2_045,FOODS_2,2015-11-01,41.0,44.8651538301605,SES
FOODS_2_045,FOODS_2,2015-12-01,40.0,41.08769228442491,SES
FOODS_2_045,FOODS_2,2016-01-01,28.0,40.024122603356396,SES
FOODS_2_045,FOODS_2,2016-02-01,33.0,28.228655152651953,SES
FOODS_2_045,FOODS_2,2016-03-01,33.0,32.8528672783509,SES
FOODS_2_045,FOODS_2,2016-04-01,30.0,32.99534976160742,SES
FOODS_2_045,FOODS_2,2016-05-01,18.0,30.095614473916488,SES
FOODS_2_069,FOODS_2,2015-05-01,2.0,13.586458844483,SES
FOODS_2_069,FOODS_2,2015-06-01,12.0,8.733060466932546,SES
FOODS_2_069,FOODS_2,2015-07-01,13.0,10.272759343429213,SES
FOODS_2_069,FOODS_2,2015-08-01,19.0,11.282516020489068,SES
FOODS_2_069,FOODS_2,2015-09-01,13.0,13.862789896461296,SES
FOODS_2_069,FOODS_2,2015-10-01,13.0,13.569638713021616,SES
FOODS_2_069,FOODS_2,2015-11-01,18.0,13.381841127403918,SES
FOODS_2_069,FOODS_2,2015-12-01,14.0,14.910057611585932,SES
FOODS_2_069,FOODS_2,2016-01-01,20.0,14.601160029130057,SES
FOODS_2_069,FOODS_2,2016-02-01,21.0,16.43261134130953,SES
FOODS_2_069,FOODS_2,2016-03-01,23.0,18.152612435742277,SES
FOODS_2_069,FOODS_2,2016-04-01,16.0,20.159235184369358,SES
FOODS_2_069,FOODS_2,2016-05-01,9.0,18.500698048770044,SES
FOODS_2_111,FOODS_2,2015-05-01,11.0,5.759645555103662,Croston
